ISO3,GNI_per_capita
AFG,
ALB,8690.0
DZA,5320.0
ASM,
AND,48870.0
AGO,2220.0
ATG,21380.0
ARG,13440.0
ARM,7780.0
ABW,
AUS,62550.0
AUT,54160.0
AZE,7310.0
BHR,28810.0
BGD,2820.0
BRB,23660.0
BLR,8240.0
BEL,54840.0
BLZ,7640.0
BEN,1430.0
BMU,140280.0
BTN,
BIH,8630.0
BWA,7750.0
BRA,9950.0
BRN,36150.0
BGR,15320.0
BFA,880.0
BDI,190.0
CPV,5000.0
KHM,2520.0
CMR,1680.0
CAN,53340.0
CYM,
CAF,520.0
TCD,970.0
CHL,15750.0
CHN,13660.0
COL,7040.0
COM,1690.0
CRI,15620.0
HRV,22080.0
CUB,
CYP,32980.0
CZE,29140.0
DNK,73790.0
DJI,3540.0
DMA,10220.0
DOM,10280.0
ECU,6430.0
SLV,5120.0
GNQ,4740.0
ERI,
EST,28700.0
SWZ,3580.0
ETH,
FRO,
FJI,5680.0
FIN,51710.0
FRA,45180.0
PYF,
GAB,7550.0
GEO,8200.0
DEU,54960.0
GHA,2320.0
GIB,
GRC,23030.0
GRL,
GRD,10550.0
GUM,
GTM,5780.0
GIN,1470.0
GNB,960.0
GUY,20220.0
HTI,1760.0
HND,3020.0
HUN,20690.0
ISL,78480.0
IND,2650.0
IDN,4910.0
IRQ,6030.0
IRL,77920.0
IMN,
ISR,52940.0
ITA,38290.0
JAM,6490.0
JPN,36030.0
JOR,4430.0
KAZ,12150.0
KEN,2110.0
KIR,3620.0
KWT,40250.0
LVA,21930.0
LBN,
LSO,1170.0
LBR,760.0
LBY,6310.0
LIE,
LTU,26950.0
LUX,91470.0
MDG,510.0
MWI,540.0
MYS,11670.0
MDV,11650.0
MLI,1020.0
MLT,34660.0
MHL,8380.0
MRT,2090.0
MUS,12850.0
MEX,12800.0
MCO,
MNG,5350.0
MNE,12020.0
MAR,3760.0
MOZ,550.0
MMR,1220.0
NAM,4240.0
NRU,21260.0
NPL,1470.0
NCL,
NZL,46280.0
NIC,2510.0
NER,660.0
NGA,1250.0
MKD,8360.0
MNP,
NOR,98280.0
OMN,19280.0
PAK,1430.0
PLW,
PAN,17960.0
PNG,2940.0
PRY,6290.0
PER,7490.0
PHL,4470.0
POL,21560.0
PRT,26620.0
QAT,76720.0
ROU,17600.0
RUS,15320.0
RWA,1040.0
WSM,4650.0
SMR,
STP,2770.0
SAU,35570.0
SEN,1680.0
SRB,11570.0
SYC,17460.0
SLE,840.0
SGP,74750.0
SXM,
SVN,31640.0
SLB,2080.0
SOM,600.0
ZAF,6100.0
SSD,
ESP,33410.0
LKA,3860.0
SDN,720.0
SUR,5870.0
SWE,58820.0
CHE,95900.0
SYR,
TJK,1650.0
THA,7120.0
TLS,1560.0
TGO,1010.0
TON,
TTO,20000.0
TUN,3900.0
TKM,8390.0
TCA,
TUV,
UGA,1020.0
UKR,5220.0
ARE,49500.0
URY,21580.0
UZB,3020.0
VUT,3940.0
VNM,4490.0
VIR,
ZMB,1260.0
ZWE,2260.0
