ISO3,GNI_per_capita
ABW,30120.0
AFG,370.0
AGO,2220.0
ALB,8690.0
AND,48870.0
ARE,49500.0
ARG,13440.0
ARM,7780.0
ATG,21380.0
AUS,62550.0
AUT,54160.0
AZE,7310.0
BDI,190.0
BEL,54840.0
BEN,1430.0
BFA,880.0
BGD,2820.0
BGR,15320.0
BHR,28810.0
BIH,8630.0
BLR,8240.0
BLZ,7640.0
BMU,140280.0
BRA,9950.0
BRB,23660.0
BRN,36150.0
BTN,3740.0
BWA,7750.0
CAF,520.0
CAN,53340.0
CHE,95900.0
CHL,15750.0
CHN,13660.0
CMR,1680.0
COL,7040.0
COM,1690.0
CPV,5000.0
CRI,15620.0
CUB,9010.0
CYM,61780.0
CYP,32980.0
CZE,29140.0
DEU,54960.0
DJI,3540.0
DMA,10220.0
DNK,73790.0
DOM,10280.0
DZA,5320.0
ECU,6430.0
ERI,650.0
ESP,33410.0
EST,28700.0
ETH,1010.0
FIN,51710.0
FJI,5680.0
FRA,45180.0
FRO,72200.0
GAB,7550.0
GEO,8200.0
GHA,2320.0
GIN,1470.0
GNB,960.0
GNQ,4740.0
GRC,23030.0
GRD,10550.0
GRL,34800.0
GTM,5780.0
GUY,20220.0
HND,3020.0
HRV,22080.0
HTI,1760.0
HUN,20690.0
IDN,4910.0
IMN,78440.0
IND,2650.0
IRL,77920.0
IRQ,6030.0
ISL,78480.0
ISR,52940.0
ITA,38290.0
JAM,6490.0
JOR,4430.0
JPN,36030.0
KAZ,12150.0
KEN,2110.0
KHM,2520.0
KIR,3620.0
KWT,40250.0
LBN,3730.0
LBR,760.0
LBY,6310.0
LIE,116380.0
LKA,3860.0
LSO,1170.0
LTU,26950.0
LUX,91470.0
LVA,21930.0
MAR,3760.0
MDG,510.0
MDV,11650.0
MEX,12800.0
MHL,8380.0
MKD,8360.0
MLI,1020.0
MLT,34660.0
MMR,1220.0
MNE,12020.0
MNG,5350.0
MOZ,550.0
MRT,2090.0
MUS,12850.0
MWI,540.0
MYS,11670.0
NAM,4240.0
NCL,36980.0
NER,660.0
NGA,1250.0
NIC,2510.0
NOR,98280.0
NPL,1470.0
NRU,21260.0
NZL,46280.0
OMN,19280.0
PAK,1430.0
PAN,17960.0
PER,7490.0
PHL,4470.0
PLW,14070.0
PNG,2940.0
POL,21560.0
PRT,26620.0
PRY,6290.0
PYF,25270.0
QAT,76720.0
ROU,17600.0
RUS,15320.0
RWA,1040.0
SAU,35570.0
SDN,720.0
SEN,1680.0
SGP,74750.0
SLB,2080.0
SLE,840.0
SLV,5120.0
SMR,53930.0
SOM,600.0
SRB,11570.0
SSD,1050.0
STP,2770.0
SUR,5870.0
SVN,31640.0
SWE,58820.0
SWZ,3580.0
SXM,36890.0
SYC,17460.0
SYR,770.0
TCA,34690.0
TCD,970.0
TGO,1010.0
THA,7120.0
TJK,1650.0
TKM,8390.0
TLS,1560.0
TON,5520.0
TTO,20000.0
TUN,3900.0
TUV,8770.0
UGA,1020.0
UKR,5220.0
URY,21580.0
UZB,3020.0
VNM,4490.0
VUT,3940.0
WSM,4650.0
ZAF,6100.0
ZMB,1260.0
ZWE,2260.0
